	Nazwa
1492	Bielów
1493	Bielowa
1494	Bielowice
1495	Bielowicko
1496	Bielówka
1497	Bielowy
1498	Bielscy
1499	Bielsk
1500	Bielska
1501	Bielskie
1502	Bielsko
1503	Bielsko-Biała
1504	Bielszczyzna
1505	Bielszowice
1506	Bień
1507	Bienaszówka
1508	Bieńczyce
1509	Bienduszka
1510	Bieńdziuga
1511	Bieniadka
1512	Bieniądzice
1513	Bieniasze
1514	Bieniaszowice
1515	Bienice
1516	Bieniczki
1517	Bienie
1518	Bieniec
1519	Bieniędzice
1520	Bieniek
1521	Bieniew
1522	Bieniewice
1523	Bieniewiec
1524	Bieniewo
1525	Bieniewo-Parcela
1526	Bieniewo-Wieś
1527	Bieniów
1528	Bieniowce
1529	Bieniowce-Kolonia
1530	Bieniowice
1531	Bieniowiec
1532	Bieniówka
1533	Bieniszew
1534	Bieniszew-Klasztor
1535	Bieńki
1536	Bieńki-Bucice
1537	Bieńki-Karkuty
1538	Bieńki-Skrzekoty
1539	Bieńki-Śmietanki
1540	Bieńków
1541	Bieńkowice
1542	Bieńkówka
1543	Bieńkowo
1544	Bieńkowski
1545	Bieńkowszczyzna
1546	Bieńkula
1547	Bieńskie
1548	Bierawa
1549	Bierce
1550	Biercza
1551	Bierdzańska
1552	Bierdzany
1553	Bierdzież
1554	Bierkowice
1555	Bierkowo
1556	Bierna
